Rio,Anio,Maximo_Anual
Vacas,2016,3.026666666666667
Vacas,2017,2.3623333333333334
Vacas,2018,3.5116666666666667
Vacas,2019,1.63
Vacas,2020,0.39033333333333337
Vacas,2021,0.432288
Vacas,2022,1.6084799999999997
Vacas,2023,1.017504
Vacas,2024,0.6549119999999999
Vacas,2025,0.13075200000000003
San Diego,1950,2.4553333333333334
San Diego,1951,6.242
San Diego,1952,1.702
San Diego,1953,8.201666666666666
San Diego,1954,8.381666666666666
San Diego,1955,1.7733333333333334
San Diego,1956,1.3416666666666668
San Diego,1957,26.932000000000002
San Diego,1958,29.534333333333333
San Diego,1959,13.179
San Diego,1960,10.375333333333334
San Diego,1961,44.51666666666667
San Diego,1962,5.362666666666667
San Diego,1963,2.1229999999999998
San Diego,1964,38.92333333333333
San Diego,1965,4.429
San Diego,1966,3.3209999999999997
San Diego,1967,7.267333333333333
San Diego,1968,6.349666666666667
San Diego,1969,11.893666666666666
San Diego,1970,13.645333333333333
San Diego,1971,22.116
San Diego,1972,9.060333333333334
San Diego,1973,25.911666666666665
San Diego,1974,12.199666666666666
San Diego,1975,55.222
San Diego,1976,55.97933333333333
San Diego,1977,14.711
San Diego,1978,20.050333333333334
San Diego,1979,18.832333333333334
San Diego,1980,17.447
San Diego,1981,22.51
San Diego,1982,2.3503333333333334
San Diego,1983,11.684333333333333
San Diego,1984,6.950666666666667
San Diego,1985,6.412333333333333
San Diego,1986,18.734333333333336
San Diego,1987,24.209333333333333
San Diego,1988,14.025666666666666
San Diego,1989,4.750333333333333
San Diego,1990,15.327
San Diego,1991,17.211666666666666
San Diego,1992,21.599
San Diego,1993,7.3116666666666665
San Diego,1994,3.632
San Diego,1995,2.15
San Diego,1996,5.949000000000001
San Diego,1997,11.243666666666668
San Diego,1998,21.554333333333332
San Diego,1999,23.276666666666667
San Diego,2000,6.843
San Diego,2001,2.249
San Diego,2002,26.727
San Diego,2003,11.064
San Diego,2004,13.927666666666667
San Diego,2005,23.59566666666667
San Diego,2006,3.574
San Diego,2007,8.524
San Diego,2008,14.187
San Diego,2009,6.722
San Diego,2010,142.897
San Diego,2011,6.7
San Diego,2012,12.464666666666666
San Diego,2013,13.141333333333334
San Diego,2014,10.455333333333334
San Diego,2015,9.497333333333334
San Diego,2016,13.167333333333334
San Diego,2017,21.92533333333333
San Diego,2018,20.332666666666665
San Diego,2019,9.155
San Diego,2020,2.505312
San Diego,2021,2.8419839999999996
San Diego,2022,13.414752000000002
San Diego,2023,4.305024
San Diego,2024,4.526496
San Diego,2025,1.940256
San Rodrigo,1950,0.917
San Rodrigo,1951,5.909333333333333
San Rodrigo,1952,0.5603333333333333
San Rodrigo,1953,13.970333333333334
San Rodrigo,1954,4.646333333333334
San Rodrigo,1955,0.7773333333333333
San Rodrigo,1956,0.36233333333333334
San Rodrigo,1957,11.409333333333334
San Rodrigo,1958,81.53866666666667
San Rodrigo,1959,6.12
San Rodrigo,1960,4.804
San Rodrigo,1961,37.95966666666667
San Rodrigo,1962,1.7523333333333333
San Rodrigo,1963,0.5376666666666666
San Rodrigo,1964,17.410999999999998
San Rodrigo,1965,1.986
San Rodrigo,1966,1.7983333333333331
San Rodrigo,1967,16.56
San Rodrigo,1968,11.674666666666667
San Rodrigo,1969,8.919
San Rodrigo,1970,11.671333333333335
San Rodrigo,1971,36.60033333333333
San Rodrigo,1972,11.44
San Rodrigo,1973,21.82766666666667
San Rodrigo,1974,19.762666666666664
San Rodrigo,1975,86.993
San Rodrigo,1976,186.93200000000002
San Rodrigo,1977,4.851333333333334
San Rodrigo,1978,34.544000000000004
San Rodrigo,1979,5.4606666666666674
San Rodrigo,1980,19.686
San Rodrigo,1981,12.037666666666667
San Rodrigo,1982,0.653
San Rodrigo,1983,2.853666666666667
San Rodrigo,1984,7.072
San Rodrigo,1985,3.2893333333333334
San Rodrigo,1986,17.328666666666667
San Rodrigo,1987,42.408
San Rodrigo,1988,21.725333333333335
San Rodrigo,1989,4.278
San Rodrigo,1990,26.82133333333333
San Rodrigo,1991,7.173333333333333
San Rodrigo,1992,24.269333333333336
San Rodrigo,1993,8.844
San Rodrigo,1994,1.0783333333333334
San Rodrigo,1995,0.7433333333333333
San Rodrigo,1996,0.38866666666666666
San Rodrigo,1997,0.7043333333333334
San Rodrigo,1998,13.122
San Rodrigo,1999,14.908666666666667
San Rodrigo,2000,6.108333333333333
San Rodrigo,2001,2.5813333333333333
San Rodrigo,2002,27.924333333333333
